MES;ENTIDAD;INVERSION
2017-01;Bankia;27.41%
2017-01;BBVA;4.62%
2017-01;CaixaBank;15.20%
2017-01;ING Direct;31.68%
2017-01;Resto;7.84%
2017-01;Santander;13.25%
2017-02;Bankia;7.84%
2017-02;BBVA;3.37%
2017-02;CaixaBank;14.90%
2017-02;ING Direct;26.63%
2017-02;Resto;37.09%
2017-02;Santander;10.18%
2017-03;Bankia;6.81%
2017-03;BBVA;22.61%
2017-03;CaixaBank;11.10%
2017-03;ING Direct;18.30%
2017-03;Resto;25.42%
2017-03;Santander;15.76%
2017-04;Bankia;2.49%
2017-04;BBVA;18.84%
2017-04;CaixaBank;17.21%
2017-04;ING Direct;12.33%
2017-04;Resto;17.12%
2017-04;Santander;32.01%
2017-05;Bankia;3.48%
2017-05;BBVA;23.41%
2017-05;CaixaBank;15.69%
2017-05;ING Direct;14.07%
2017-05;Resto;30.41%
2017-05;Santander;12.95%
2017-06;Bankia;10.10%
2017-06;BBVA;28.90%
2017-06;CaixaBank;11.56%
2017-06;ING Direct;14.90%
2017-06;Resto;28.16%
2017-06;Santander;6.38%
2017-07;Bankia;7.17%
2017-07;BBVA;27.40%
2017-07;CaixaBank;9.98%
2017-07;ING Direct;18.25%
2017-07;Resto;21.27%
2017-07;Santander;15.93%
2017-08;Bankia;0.89%
2017-08;BBVA;34.56%
2017-08;CaixaBank;5.82%
2017-08;ING Direct;45.21%
2017-08;Resto;7.15%
2017-08;Santander;6.37%
2017-09;Bankia;11.19%
2017-09;BBVA;17.55%
2017-09;CaixaBank;19.66%
2017-09;ING Direct;24.11%
2017-09;Resto;18.71%
2017-09;Santander;8.79%
2017-10;Bankia;2.90%
2017-10;BBVA;17.34%
2017-10;CaixaBank;11.22%
2017-10;ING Direct;16.66%
2017-10;Resto;27.85%
2017-10;Santander;24.02%
2017-11;Bankia;5.82%
2017-11;BBVA;24.29%
2017-11;CaixaBank;14.24%
2017-11;ING Direct;25.97%
2017-11;Resto;15.95%
2017-11;Santander;13.74%
2017-12;Bankia;4.03%
2017-12;BBVA;16.81%
2017-12;CaixaBank;21.56%
2017-12;ING Direct;35.56%
2017-12;Resto;8.55%
2017-12;Santander;13.49%
2017-01;Popular;15991400.00%
2017-01;Popular;16697500.00%
2017-01;Popular;17481100.00%
2017-01;Popular;19384500.00%
2017-01;Sabadell;470200.00%
2017-01;Sabadell;470700.00%
2017-01;Sabadell;2427500.00%
2017-01;Sabadell;3796300.00%
2017-01;Sabadell;8053500.00%
2017-01;Sabadell;9944400.00%
2017-01;Sabadell;13498700.00%
2017-01;Sabadell;15650000.00%
2017-01;Sabadell;17944900.00%
2017-01;Sabadell;18271500.00%
2017-01;Sabadell;22879600.00%
2017-01;Sabadell;24401500.00%
2017-01;Sabadell;24557200.00%
2017-01;Santander;464300.00%
2017-01;Santander;1301400.00%
2017-01;Santander;4626800.00%
2017-01;Santander;8554400.00%
2017-01;Santander;10055900.00%
2017-01;Santander;13545900.00%
2017-01;Santander;14859800.00%
2017-01;Santander;16625300.00%
2017-01;Santander;16707000.00%
2017-01;Santander;16793200.00%
2017-01;Santander;17449700.00%
2017-01;Santander;18053400.00%
2017-01;Santander;18175600.00%
2017-01;Santander;18964900.00%
2017-01;Santander;19336000.00%
2017-01;Santander;19462700.00%
2017-01;Santander;19516200.00%
2017-01;Santander;22419500.00%
2017-01;Santander;22895800.00%
2017-01;Santander;22934200.00%
2017-01;Self Bank;7894500.00%
2017-01;Self Bank;19452500.00%
2017-01;Self Bank;23190500.00%
2017-01;Self Bank;24724400.00%
2017-01;UBS;22795700.00%
2017-01;UBS;22978200.00%
2017-01;Unicaja;20714200.00%
2017-01;WiZink;17055000.00%
2017-01;WiZink;18034400.00%
2017-02;Abanca;15087300.00%
2017-02;a&g;17938500.00%
2017-02;Bankia;1864200.00%
2017-02;Bankia;8524200.00%
2017-02;Bankia;8973800.00%
2017-02;Bankia;18992700.00%
2017-02;Bankia;19270500.00%
2017-02;Bankia;22795200.00%
2017-02;Bankia;22797700.00%
2017-02;Bankia;22881000.00%
2017-02;Bankinter;18307800.00%
2017-02;Bankinter;24772200.00%
2017-02;BBVA;2216600.00%
2017-02;BBVA;10044100.00%
2017-02;BBVA;11199800.00%
2017-02;BBVA;15927300.00%
2017-02;BBVA;16019600.00%
2017-02;BBVA;16595700.00%
2017-02;BBVA;17088100.00%
2017-02;BBVA;18991100.00%
2017-02;BBVA;23191400.00%
2017-02;BBVA;23396800.00%
2017-02;BBVA;24778500.00%
2017-02;BNP Paribas;18984900.00%
2017-02;CaixaBank;463100.00%
2017-02;CaixaBank;1792700.00%
2017-02;CaixaBank;3795400.00%
2017-02;CaixaBank;4629100.00%
2017-02;CaixaBank;8313300.00%
2017-02;CaixaBank;9311900.00%
2017-02;CaixaBank;14987100.00%
2017-02;CaixaBank;16688600.00%
2017-02;CaixaBank;18503000.00%
2017-02;CaixaBank;19334200.00%
2017-02;CaixaBank;19497700.00%
2017-02;CaixaBank;22153000.00%
2017-02;CaixaBank;22784000.00%
2017-02;CaixaBank;22887600.00%
2017-02;CaixaBank;22948500.00%
2017-02;CaixaBank;22977500.00%
2017-02;CaixaBank;23057400.00%
2017-02;EVO Banco;19384000.00%
2017-02;EVO Banco;23709300.00%
2017-02;EVO Banco;23801100.00%
2017-02;Ibercaja;15259500.00%
2017-02;Ibercaja;22797000.00%
2017-02;Ibercaja;22997600.00%
2017-02;Ibercaja;23731400.00%
2017-02;Ibercaja;27370900.00%
2017-02;ING Direct;15261000.00%
2017-02;ING Direct;17542500.00%
2017-02;ING Direct;17962200.00%
2017-02;ING Direct;18276300.00%
2017-02;ING Direct;23013500.00%
2017-02;ING Direct;24484200.00%
2017-02;Kutxabank;20746400.00%
2017-02;Kutxabank;22879700.00%
2017-02;Kutxabank;22948900.00%
2017-02;Laboral Kutxa;9895800.00%
2017-02;Laboral Kutxa;14604100.00%
2017-02;Laboral Kutxa;17868000.00%
2017-02;Laboral Kutxa;22347500.00%
2017-02;Liberbank;23404300.00%
2017-02;Openbank;10151500.00%
2017-02;Openbank;17482700.00%
2017-02;Openbank;23403200.00%
2017-02;Openbank;23606100.00%
2017-02;Pictet;18985600.00%
2017-02;Popular;8750300.00%
2017-02;Popular;15990900.00%
2017-02;Popular;15991400.00%
2017-02;Popular;16697500.00%
2017-02;Popular;17481100.00%
2017-02;Popular;22934500.00%
2017-02;Sabadell;470200.00%
2017-02;Sabadell;470700.00%
2017-02;Sabadell;3796300.00%
2017-02;Sabadell;8053500.00%
2017-02;Sabadell;9944400.00%
2017-02;Sabadell;15649000.00%
2017-02;Sabadell;17944900.00%
2017-02;Sabadell;22879600.00%
2017-02;Sabadell;23070200.00%
2017-02;Sabadell;23333700.00%
2017-02;Sabadell;23382500.00%
2017-02;Sabadell;24401500.00%
2017-02;Sabadell;24557200.00%
2017-02;Santander;1301400.00%
2017-02;Santander;1469100.00%
2017-02;Santander;8554400.00%
2017-02;Santander;10055900.00%
2017-02;Santander;13545900.00%
2017-02;Santander;14859800.00%
2017-02;Santander;15644400.00%
2017-02;Santander;16793200.00%
2017-02;Santander;17449700.00%
